,frame,pos_x,pos_y,maxx,maxy,minx,miny
0,1.0,324.6176246800858,85.96084941550805,369,105,278,64
1,2.0,337.2175072206176,85.81337480559876,378,104,300,64
2,3.0,337.7859126114277,85.31930439865555,374,104,298,64
3,4.0,338.2425868593051,81.27622979016168,371,103,298,53
4,5.0,341.25310190994,77.89627770807193,370,105,309,46
5,6.0,331.4676918297608,79.33302267785027,357,109,305,49
6,7.0,325.7781000087881,83.31039634414272,352,112,302,56
7,8.0,328.8625162127107,83.24445354631715,353,120,305,48
8,9.0,328.4886745907154,86.54937579427374,354,120,304,56
9,10.0,329.25534834907563,89.65883587632194,356,121,304,63
10,11.0,328.3522501906941,86.59138062547673,362,109,291,61
11,12.0,325.1738059135709,86.69686631286328,369,108,278,62
12,13.0,336.2179274802135,84.81501932633904,381,103,291,61
13,14.0,336.47805976507817,85.18538129146125,383,104,293,61
14,15.0,337.75268620268616,85.23846153846154,383,104,294,61
15,16.0,336.16879687968793,85.44908490849085,382,104,291,61
16,17.0,334.71003058103975,85.34140672782874,379,104,293,62
17,18.0,322.68875016780777,84.27144583165526,370,104,280,63
18,19.0,309.2931070171807,83.89084385565445,350,103,268,63
19,20.0,292.1828138163437,80.67944397641112,332,102,252,59
20,21.0,279.3845722075214,81.2390345601796,318,103,242,61
21,22.0,272.21722661396575,79.25971673254281,306,102,239,58
22,23.0,268.08805476864967,81.46970412338683,306,103,234,60
23,24.0,266.53956889915315,83.07859892224788,304,105,233,62
24,25.0,261.38081130355516,82.56388635673048,300,104,227,62
25,26.0,262.8034682080925,82.93487475915221,302,105,229,62
26,27.0,263.9842409240924,82.81773927392739,298,105,234,61
27,28.0,260.5597468770545,82.77769559500328,296,104,229,62
28,29.0,257.11422663358144,82.8923076923077,289,109,227,60
29,30.0,251.71944101931769,81.50020550760378,287,106,216,60
30,31.0,241.66761655980366,83.76300166231299,278,105,204,63
31,32.0,241.21722480241178,83.68801434042206,277,105,204,63
32,33.0,238.3647337458935,83.91122316448926,275,105,199,64
33,34.0,236.54344569288386,85.70561797752809,274,107,200,66
34,35.0,234.17259695845155,82.77996070726915,271,103,198,62
35,36.0,236.5529987760098,83.83761729906159,271,106,204,63
36,37.0,237.08806770571474,83.67873303167421,270,109,206,63
37,38.0,234.56913157035584,83.21245510936988,266,104,203,62
38,39.0,230.57997960304382,83.61520357731231,263,105,196,63
39,40.0,226.05658932536946,84.59552798836052,259,105,191,64
40,41.0,224.93745751189667,82.90044565299493,262,104,183,62
41,42.0,214.21950153038915,81.51034834572219,255,104,171,61
42,43.0,203.89210354579075,80.42389964469581,248,99,155,61
43,44.0,190.91001671986623,79.63809089527282,232,96,146,59
44,45.0,170.61182577296321,81.25314075077107,211,98,126,62
45,46.0,159.87805886243385,79.63607804232804,197,98,122,61
46,47.0,137.49559573481687,79.87584608252202,169,98,105,61
47,48.0,124.09309048858051,80.7355690469307,154,99,94,62
48,49.0,121.52177263969172,82.25061014771997,149,100,98,66
49,50.0,121.79907407407407,84.08179012345678,147,100,101,68
50,53.0,116.29739229024942,73.09206349206349,140,97,98,44
51,54.0,113.87325349301398,76.00188511865159,135,100,94,46
52,55.0,116.71793172025191,80.34592862667108,139,101,94,57
53,56.0,118.05795206971676,82.11655773420479,146,100,91,62
54,57.0,128.0079625758933,81.52383796158057,166,99,93,63
55,58.0,135.22343027996737,82.99402011416146,178,100,96,65
56,59.0,139.7768580789791,81.81203655802724,180,100,101,63
57,60.0,145.23554913294797,82.08437700706486,189,101,104,63
58,61.0,155.02556920203978,82.32471450118508,206,101,108,63
59,62.0,157.0469852352898,82.92101243726816,205,99,110,64
60,63.0,165.41476774758982,82.54732690622261,214,99,118,63
61,64.0,161.98164097914778,81.10169235418554,204,100,119,61
62,65.0,172.94744386048734,81.91296384774645,215,100,131,62
63,66.0,178.4440721238232,83.94447103877454,221,101,139,63
64,67.0,186.29663307938068,80.67322028344392,227,98,148,61
65,68.0,187.2004043467273,82.79563642490102,226,100,148,63
66,69.0,188.36977573904178,82.41063540604824,227,100,150,63
67,70.0,189.20567737548868,81.99116097229305,228,99,152,62
68,71.0,191.97484762640568,81.54554038973302,231,100,158,61
69,72.0,194.95447112488165,81.56201050004303,234,100,161,61
70,73.0,193.85901667089786,82.62528560548363,231,103,160,61
71,74.0,193.62276917871944,83.25272773407765,232,103,160,62
72,75.0,193.058908045977,82.42494929006085,233,103,159,62
73,76.0,193.47996888370284,83.06985608712563,239,103,157,63
74,77.0,194.5270302452965,84.75359212510915,239,104,159,64
75,78.0,194.2991056910569,84.04658536585366,233,103,159,63
76,79.0,193.7780493766805,85.04799152611423,232,105,159,64
77,80.0,194.39632734530937,85.37732534930139,234,105,159,64
78,81.0,194.68720152817573,85.40846864056032,235,106,159,64
79,82.0,194.89946583751893,85.3988678944431,236,106,159,64
80,83.0,195.36245412478058,85.39532471677038,236,106,160,64
81,84.0,193.50382592061214,82.04017216642755,237,104,157,60
82,85.0,191.89703739679456,82.41719281204468,236,101,156,61
83,86.0,193.7690931715663,84.01804324156167,241,104,157,64
84,87.0,197.82135476463836,84.20597014925373,248,104,159,65
85,88.0,199.30163834022352,85.04325524421986,248,105,160,65
86,89.0,197.13539636127354,82.69582521117609,239,103,160,62
87,90.0,193.96777416937297,84.37063868765092,231,104,160,63
88,91.0,196.35371106693174,84.53727634194831,233,105,161,63
